dataset;duration;neighbours;max_no_improv;max_no_improv_ls;iterations;best_iteration;initial_costs;initial_distance;best_costs;best_distance
skas_4_100;8,85649367;1,,5;50;20;53;3;1904,0779206613943;102,07562276692195;728,3968269582695;34,209372712298546
skas_4_100;7,977872837;1,,5;50;20;53;3;1904,0779206613943;102,07562276692195;556,5270268524557;38,360583474096885
skas_4_100;8,745245996;1,,5;50;20;56;6;1028,7902973396633;65,43945168133095;802,309776430734;50,518275914938926
skas_4_100;8,374392445;1,,5;50;20;54;4;1324,2067597929993;84,59905036964359;556,5270268524557;38,360583474096885
skas_4_100;8,201258049;1,,5;50;20;54;4;1028,7902973396633;65,43945168133095;556,5270268524557;38,360583474096885
skas_4_100;7,639900994;1,,5;50;20;53;3;1904,0779206613943;102,07562276692195;556,5270268524557;38,360583474096885
skas_4_100;7,909591104;1,,5;50;20;53;3;1723,1320343559642;114,07106781186548;728,3968269582695;34,209372712298546
skas_4_100;8,149543593;1,,5;50;20;53;3;1028,7902973396633;65,43945168133095;728,3968269582695;34,209372712298546
skas_4_100;7,806081214;1,,5;50;20;53;3;1028,7902973396633;65,43945168133095;728,3968269582695;34,209372712298546
skas_4_100;7,771401609;1,,5;50;20;51;1;1904,0779206613943;102,07562276692195;1334,3393670989615;66,45796331509813
skas_4_100;8,275998271;1,,5;50;20;52;2;1324,2067597929993;84,59905036964359;728,3968269582695;34,209372712298546
skas_4_100;7,72920506;1,,5;50;20;52;2;1028,7902973396633;65,43945168133095;802,309776430734;50,518275914938926
skas_4_100;10,160980585;1,,5;50;20;62;12;1028,7902973396633;65,43945168133095;728,3968269582695;34,209372712298546
skas_4_100;8,036854237;1,,5;50;20;53;3;1904,0779206613943;102,07562276692195;556,5270268524557;38,360583474096885
skas_4_100;8,317435388;1,,5;50;20;53;3;1028,7902973396633;65,43945168133095;728,3968269582695;34,209372712298546
skas_4;8,506426213;1,,5;50;20;53;3;1028,7902973396633;65,43945168133095;728,3968269582695;34,209372712298546
skas_6;102,919084649;1,,7;50;20;143;87;4487,378909004565;463,60029090647856;2127,764184232232;196,58762149989445
skas_6;48,122626981;1,,7;50;20;70;14;3897,975811831697;443,6112731221227;1623,7798841113035;164,92464020479252
skas_8;305,21928813;1,,5;50;20;119;69;16626,930289217697;897,3546810288465;9028,60266345996;662,1683371703024
skas_8;288,449727911;1,,9;50;20;114;60;17195,140123305948;1044,8898308507553;8610,427212380924;629,0995382302923
skas_10;492,165974411;1,,5;50;20;83;33;38523,00198883212;2213,026442141759;22404,531426063386;1470,049104222369
skas_12;1242,013029476;1,,5;50;20;118;68;102677,86064080283;3815,096348970636;45276,06982247668;1746,3077625957594
skas_4;593,731500649;1,,5;50;20;53;3;1028,7902973396633;65,43945168133095;802,309776430734;50,518275914938926
skas_4;7,819603292;1,,5;50;20;53;3;1723,1320343559642;114,07106781186548;728,3968269582695;34,209372712298546
skas_10;619,596776098;1,,5;50;20;118;68;44461,98848156388;2419,379974954829;21644,324414373743;1380,9550303140818
skas_12;1095,660890235;1,,5;50;20;108;58;77156,53443567404;2923,1424946413385;47184,25627152922;1864,1420195157111
skas_4;7,550069237;1,,5;50;20;56;6;1723,1320343559642;114,07106781186548;1007,901516908344;70,62521525802828
skas_6;102,109265052;1,,7;50;20;161;105;3897,975811831697;443,6112731221227;2223,5818617086975;250,04339685102138
skas_8;147,06732217;1,,9;50;20;64;10;17710,02945096577;1069,2424206322537;10701,410632614898;811,6563370619116
test;0,694605226;1,,10;5;5;15;5;1028,7902973396633;65,43945168133095;766;36
test;0,875108516;1,,10;5;5;20;10;1324,2067597929993;84,59905036964359;766;36
test;1,01039543;1,,10;5;5;21;11;1028,7902973396633;65,43945168133095;766;36
test;0,730977968;1,,10;5;5;15;5;1028,7902973396633;65,43945168133095;766;36
test;0,756916862;1,,10;5;5;17;7;1904,0779206613943;102,07562276692195;999,3612690066851;64,47482542621105
skas_10;551,699333349;1,,5;50;20;107;57;47446,5354951383;2842,4142887162966;22456,821041499767;1622,659975569245
skas_12;893,561290604;1,,5;50;20;104;54;82649,25626675492;3111,1444202866205;46904,72003422832;1952,2366276295886
skas_4;8,335167912;1,,5;50;20;56;6;1028,7902973396633;65,43945168133095;802,309776430734;50,518275914938926
skas_6;80,768621406;1,,7;50;20;116;60;3897,975811831697;443,6112731221227;2006,2430048402548;224,34846384255619
skas_8;158,964910556;1,,9;50;20;77;23;18807,52018963923;1111,7450734458769;11096,880767130711;740,4234772879302
skas_10;611,998;1,,5;50;20;85;35;37538,01066848133;2128,0821559367855;23237,852547389954;1535,9406579659808
skas_12;1300,818;1,,5;50;20;102;52;113026,85186595756;4232,008286599045;44749,93637330683;1783,3609460029688
skas_4;8,91;1,,5;50;20;53;3;1028,7902973396633;65,43945168133095;802,309776430734;50,518275914938926
skas_6;44,521;1,,7;50;20;58;2;5658,976208130532;491,26165437341774;2524,6102224461247;275,07525328312107
skas_8;308,47;1,,9;50;20;113;59;19598,521049089893;1126,114066159192;9668,141296543572;672,7932823621233
test;0,782;1,,10;5;5;13;3;1028,7902973396633;65,43945168133095;802,309776430734;50,518275914938926
test;0,788;1,,10;5;5;16;6;1723,1320343559642;114,07106781186548;836;43
test;0,78;1,,10;5;5;16;6;1028,7902973396633;65,43945168133095;802,309776430734;50,518275914938926
test;0,961;1,,10;5;5;16;6;1723,1320343559642;114,07106781186548;836;43
test;1,08;1,,10;5;5;19;9;1723,1320343559642;114,07106781186548;836;43
