dataset;duration;neighbours;max_no_improv;max_no_improv_ls;iterations;best_iteration;initial_costs;initial_distance;best_costs;best_distance
skas_4;4,411838622;1,,5;50;20;52;2;1769,108506504245;96,99045933972934;894,8013732677313;48,94586677973897
skas_4s;0,078896221;1,,5;50;20;51;1;1636,5641769555996;111,6295063073194;556,5270268524557;38,360583474096885
skas_4s+;0,078896221;1,,5;50;20;51;1;2461,995508619931;177,35464183175355;556,5270268524557;38,360583474096885
skas_4s;0,079310493;1,,5;50;20;52;2;2269,6261754451907;100,2343128615834;704,3506312780435;33,576578089134706
skas_4s+;0,079310493;1,,5;50;20;52;2;2515,5856099730654;114,86342439892263;766;36
skas_4s;0,08277326;1,,5;50;20;53;3;1088,7024072965849;67,08465324398804;647,0856839282352;40,97324832463399
skas_4s+;0,08277326;1,,5;50;20;53;3;1210,4721200898252;78,89773509982822;1209;83
skas_4s;0,090909994;1,,5;50;20;56;6;1447,6972616382413;96,04153615210409;802,309776430734;50,518275914938926
skas_4s+;0,090909994;1,,5;50;20;56;6;1907;135;802,309776430734;50,518275914938926
skas_4s;0,081901467;1,,5;50;20;59;9;1622,8289582351792;113,96163848198782;556,5270268524557;38,360583474096885
skas_4s+;0,081901467;1,,5;50;20;59;9;2675,2234925906077;197,4868329805051;556,5270268524557;38,360583474096885
skas_4s;0,077993784;1,,5;50;20;53;3;1472,2316834995859;67,34104403506078;647,0856839282352;40,97324832463399
skas_4s+;0,077993784;1,,5;50;20;53;3;2542;130;1209;83
skas_4s;0,07845863;1,,5;50;20;53;3;2025,1596078857096;110,6504245168505;556,5270268524557;38,360583474096885
skas_4s+;0,07845863;1,,5;50;20;53;3;2041,126135719106;113,84373008352976;556,5270268524557;38,360583474096885
skas_4s;0,091223499;1,,5;50;20;59;9;1088,7024072965849;67,08465324398804;647,0856839282352;40,97324832463399
skas_4s+;0,091223499;1,,5;50;20;59;9;1210,4721200898252;78,89773509982822;1209;83
skas_4s;0,084497071;1,,5;50;20;59;9;1472,2316834995859;67,34104403506078;623,9602596744048;43,70794127729489
skas_4s+;0,084497071;1,,5;50;20;59;9;2486;130;868,8722825824867;62,70820393249937
skas_4s;0,078632382;1,,5;50;20;52;2;1683,8819762492267;85,35311769041115;704,3506312780435;33,576578089134706
skas_4s+;0,078632382;1,,5;50;20;52;2;2553;126;766;36
skas_4s;0,080727821;1,,5;50;20;53;3;2380,620641955976;127,04194981551876;556,5270268524557;38,360583474096885
skas_4s+;0,080727821;1,,5;50;20;53;3;3042,185793345764;167,80217229912458;556,5270268524557;38,360583474096885
skas_4s;0,084347537;1,,5;50;20;59;9;958,6482095754625;62,656072980056706;556,5270268524557;38,360583474096885
skas_4s+;0,084347537;1,,5;50;20;59;9;1949,1665510863984;141,16227766016837;556,5270268524557;38,360583474096885
skas_4s;0,085142379;1,,5;50;20;59;9;2525,406695660653;138,82181920964734;875,1999694589704;45,57641794187009
skas_4s+;0,085142379;1,,5;50;20;59;9;3404,171614237034;186,29338570809514;1429,6362626711111;75,3851648071345
skas_4s;0,082854896;1,,5;50;20;55;5;1622,8289582351792;113,96163848198782;763,0990929832058;40,42295786358738
skas_4s+;0,082854896;1,,5;50;20;55;5;2539,2234925906077;181,4868329805051;1099;60
