dataset,duration,neighbours,max_no_improv,max_no_improv_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_12s,26.907009076,1..23,200,50,705,498,85113.80647831339,3034.435506041706,37823.45824621496,1569.6354548128245
skas_12s+,26.907009076,1..23,200,50,705,498,98280.24359747059,3492.6946941236233,49667.767863737274,2069.6199947305086
skas_12s,10.807039105,1..23,200,50,291,84,89728.05571455495,3435.1590567901612,37489.5334301511,1536.082286220619
skas_12s+,10.807039105,1..23,200,50,291,84,98509.16339428865,3767.212656742968,47344.47840142527,1968.4702014153756
skas_12s,9.979115093,1..23,200,50,260,53,73092.62931053055,2728.474965412925,38553.664697689506,1608.681048882204
skas_12s+,9.979115093,1..23,200,50,260,53,85138.4024937022,3221.6604375105376,49161.57593634748,1974.5124915846814
skas_12s,15.399990055,1..23,200,50,402,195,62867.787292681576,2408.177628737979,37612.100403261444,1547.6209224683985
skas_12s+,15.399990055,1..23,200,50,402,195,71769.5923406119,2787.8620897342416,51141.52851455215,2063.3633269757584
skas_12s,8.525539602,1..23,200,50,210,3,73448.29250979687,2657.602449489142,39362.164468370385,1638.9782239454896
skas_12s+,8.525539602,1..23,200,50,210,3,82400.6577479398,3009.250341552894,47453.517504976735,1953.8013743202591
skas_12s,9.446101879,1..23,200,50,263,56,107329.24448825397,3946.7325727849516,36967.999338763126,1536.2095451618268
skas_12s+,9.446101879,1..23,200,50,263,56,116392.36553159033,4325.088810778585,47861.03247167592,1934.2755897303327
skas_12s,12.982505576,1..23,200,50,354,147,65481.35732547526,2420.4681256962926,38457.46866402564,1554.9809835488481
skas_12s+,12.982505576,1..23,200,50,354,147,76200.91209022414,2822.7765858206603,48706.150331103505,1955.3906720115233
skas_12s,8.218681462,1..23,200,50,210,3,64939.576701362195,2418.4535067903043,39428.25103338067,1595.69844925124
skas_12s+,8.218681462,1..23,200,50,210,3,74759.92764205408,2829.8962338121437,51013.44178512605,2047.5315423463805
skas_12s,10.982836903,1..23,200,50,288,81,109969.26351974002,3641.866345901409,40531.46326350192,1677.6084209157991
skas_12s+,10.982836903,1..23,200,50,288,81,116872.22170155369,3946.7048359949895,51005.73400653998,2106.215002309402
skas_12s,14.639510276,1..23,200,50,387,180,87527.29887510349,3447.6337354403768,37991.793017194555,1571.5378624698033
skas_12s+,14.639510276,1..23,200,50,387,180,99645.92311819614,3875.8130547582973,45707.693694586815,1884.6950670089207
skas_12s,11.393198269,1..23,200,50,298,91,81656.70750844677,3235.7185149827014,38590.8853137455,1688.5718481412405
skas_12s+,11.393198269,1..23,200,50,298,91,87662.3242726683,3391.4606755446057,52048.62074226663,2233.39915700864
skas_12s,10.165965379,1..23,200,50,263,56,87210.52912931915,3038.8616283745177,38477.542332969664,1554.8480146135635
skas_12s+,10.165965379,1..23,200,50,263,56,93351.1265151944,3250.6277666368906,48201.897655170214,1928.284760611886
skas_12s,7.626711807,1..23,200,50,210,3,62608.06067786785,2250.350141423727,41756.32784879034,1642.4636966026906
skas_12s+,7.626711807,1..23,200,50,210,3,71984.77902521269,2624.8203686166758,53842.402477977885,2107.4241802087417
skas_12s,7.876248365,1..23,200,50,218,11,79612.41815946446,3039.9897590907535,40979.67169424601,1741.0151208215989
skas_12s+,7.876248365,1..23,200,50,218,11,91896.5075364876,3481.7535767271847,45176.83820224005,1848.158653686742
skas_12s,10.730877801,1..23,200,50,284,77,67756.82950721169,2449.810252975515,37439.183030154665,1513.759838512056
skas_12s+,10.730877801,1..23,200,50,284,77,77956.23172874661,2858.4857369364872,50934.030179814836,2042.3343242129677
skas_12s,19.89213747,1..23,200,50,523,316,77628.85488123317,2931.283035765169,36663.36987002762,1512.4382742807536
skas_12s+,19.89213747,1..23,200,50,523,316,89383.90940846289,3395.25880767876,51109.75588545159,2031.8450461169034
skas_12s,10.409262608,1..23,200,50,276,69,66066.63945626438,2574.1594058571454,36755.03031928666,1538.4161962684452
skas_12s+,10.409262608,1..23,200,50,276,69,76502.81810831735,2928.340513676339,51452.32230316154,2094.3798700392763
