dataset,duration,neighbours,max_no_improv,max_no_improv_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_8f,86.812265608,1..9,50,20,67,13,27628.847960066378,1269.349442888476,10245.51806586053,684.6550622811981
skas_8f,107.18999819,1..9,50,20,82,28,16213.003170736034,1065.4507265511936,10608.893178341981,856.2293589347585
skas_8f,156.167149567,1..9,50,20,120,66,29259.94840269615,1412.7144354573222,10755.113297434407,867.8678081612477
skas_8f,116.699140918,1..9,50,20,93,39,20339.466302488578,977.2365403361446,9359.000526052134,631.2010877914288
skas_8f,84.090491756,1..9,50,20,69,15,24028.677168072612,1044.6033040103503,11048.792716073955,697.2701897666363
skas_8f,126.487055302,1..9,50,20,102,48,24982.10170288853,1100.7719934781635,10541.786752599706,786.9405487903352
skas_8f,76.405036132,1..9,50,20,60,6,22912.02578373495,943.6871188242998,11019.530858652442,656.2087544675736
skas_8f,166.932753631,1..9,50,20,126,72,20182.392717172555,1081.9259785994627,9506.388590675913,728.2957037455766
skas_8f,197.51419451,1..9,50,20,143,89,19745.415769325406,1051.4282013451855,9858.889285894962,612.0346564259388
skas_8f,108.926350214,1..9,50,20,83,29,19866.566145624092,1034.6873432498396,8810.16787997818,663.7073711083674
skas_8f,118.064998593,1..9,50,20,93,39,24141.21947914856,1174.5251250640672,10746.901173526787,719.2584365192971
skas_8f,95.099095324,1..9,50,20,71,17,20818.643208457823,945.7993917479123,10453.27551304857,736.1681039773672
skas_8f,102.394103624,1..9,50,20,82,28,20065.541058934774,944.8846822989292,9398.09972503317,753.0699336384802
skas_8f,131.369609221,1..9,50,20,96,42,28135.27629150531,1157.1847150359677,10214.681122691554,736.7363100267715
skas_8f,103.524305089,1..9,50,20,84,30,19975.65356944106,1005.1384550285921,10810.185160699697,833.4098080418696
skas_8f,185.080162166,1..9,50,20,141,87,20448.087662064783,1008.5031351812752,10777.298945858744,687.9330173796153
skas_8f,87.76141806,1..9,50,20,68,14,23723.309059887622,1007.6055713589799,10354.856264685257,842.2182012183428
skas_8f,115.819562108,1..9,50,20,87,33,23377.83226965765,1014.8300670704264,10275.49670716212,688.2959273934774
skas_8f,115.521623933,1..9,50,20,93,39,30694.36399884008,1538.6136192941317,9358.695056289478,668.1962269643607
skas_8f,128.093972418,1..9,50,20,96,42,24502.966066767764,1052.8264789019893,10156.62759759482,791.0540808827975
skas_8f,98.462222501,1..9,50,20,73,19,21744.150574910258,1125.8784199361357,12223.725710214567,669.4619193385289
skas_8f,171.268032258,1..9,50,20,135,81,19934.11935464379,994.3905235721014,10342.761197148191,742.7343064918571
skas_8f,108.782899357,1..9,50,20,74,20,24426.78051111607,1170.9020852395013,11168.173397082646,637.1372589295943
skas_8f,98.218411271,1..9,50,20,74,20,30231.773695335847,1310.330964237779,8862.0,672.0
skas_8f,117.689400299,1..9,50,20,93,39,23535.995932208192,1075.680366572861,13395.378976726517,861.6655409350835
skas_8f,74.007688673,1..9,50,20,57,3,14402.288003625552,854.1578930937069,10292.758652793254,732.3055575813407
skas_8f,120.556415569,1..9,50,20,93,39,15955.108465680983,829.6182267787625,10004.950996251928,744.1279762803488
