dataset,duration,neighbours,max_no_improv,max_no_improv_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_6,227.584,1..17,100,30,198,96,6730.388024577907,609.008233886641,2779.1795399311304,275.6358482887308
skas_6,134.962,1..17,100,30,116,14,7015.332460996805,569.5467879256263,1974.0924882358968,218.8508966099769
skas_6,125.871,1..17,100,30,108,6,4161.14404358523,376.27981438663204,2188.7545141853307,223.46897289105715
skas_6,216.904,1..17,100,30,174,72,3763.221311127908,252.18196897904406,1857.014327365714,202.9258491462349
skas_6,129.205,1..17,100,30,109,7,5264.660075785925,422.5767649019532,2523.9762577428446,247.35654772751698
skas_6,121.125,1..17,100,30,107,5,4011.893873334585,252.22572004409687,1693.1050124717892,177.52920899760815
skas_6,138.154,1..17,100,30,108,6,5970.519545021846,628.2884772688067,2663.2928328122744,274.74153030246254
skas_6,177.258,1..17,100,30,147,45,4302.619270411168,320.9438419725739,1976.716633121078,227.37856351124344
skas_6,169.429,1..17,100,30,141,39,5610.0,412.0,2350.0,274.0
skas_6,142.047,1..17,100,30,108,6,5340.33078706991,412.92657705599254,2183.442349940473,223.83819586550845
skas_6,159.486,1..17,100,30,129,27,4821.0,347.0,2185.493174953358,252.5839063705061
skas_6,190.303,1..17,100,30,162,60,4640.211444234053,398.57944239606326,2006.2430048402548,224.34846384255619
skas_6,154.542,1..17,100,30,129,27,5054.0,416.0,2218.617891131581,233.54782122741986
skas_6,134.08,1..17,100,30,119,17,4354.955455384809,390.6344341092111,1974.0924882358968,218.8508966099769
skas_6,191.42,1..17,100,30,156,54,3874.37306745335,380.3745719799557,2185.493174953358,252.5839063705061
skas_6,150.17,1..17,100,30,122,20,6537.319969860071,437.00459862241127,2185.493174953358,252.5839063705061
skas_6,140.236,1..17,100,30,105,3,5931.92895659253,558.926481725586,2793.1025997319084,311.55669579965627
skas_6,154.273,1..17,100,30,129,27,4378.53170240378,297.2879116547705,1960.1855912710002,211.27238237758067
skas_6,169.573,1..17,100,30,126,24,6477.7508757224305,455.61759557155034,2223.5818617086975,250.04339685102138
skas_6,139.55,1..17,100,30,120,18,6881.149243936649,536.7282598996767,2849.677280809887,325.7124979764257
skas_6,142.332,1..17,100,30,108,6,7417.793041444959,559.3134329292593,2169.441626923209,250.9733362848817
skas_6,145.025,1..17,100,30,111,9,4362.041240275926,498.16512927131424,2185.493174953358,252.5839063705061
skas_6,132.201,1..17,100,30,113,11,5164.702353910857,589.601729946145,2278.549068643172,254.35659972047634
skas_6,163.479,1..17,100,30,141,39,3905.380489910414,452.8186810822542,2486.9680376033057,267.1840402977307
skas_6,137.912,1..17,100,30,114,12,2733.2737954730264,310.6181760329548,2629.6437709822303,270.92547706609844
skas_6,125.919,1..17,100,30,106,4,4108.376011464769,384.42064752697837,2319.185670486995,263.2017728175871
skas_6,139.561,1..17,100,30,114,12,4688.163890361088,385.13843980794735,2125.839917494253,233.19484089408462
skas_6,131.658,1..17,100,30,105,3,4094.3709644540604,427.90692914653044,2223.5818617086975,250.04339685102138
skas_6,137.572,1..17,100,30,105,3,7085.599721781473,531.5238612791056,2185.493174953358,252.5839063705061
skas_6,153.018,1..17,100,30,131,29,5874.011973767138,398.62771367503626,1693.1050124717892,177.52920899760815
skas_6,147.907,1..17,100,30,123,21,3829.545589134058,310.10697249023127,2223.5818617086975,250.04339685102138
skas_6,133.518,1..17,100,30,113,11,4937.512020313673,460.9769292604709,1974.0924882358968,218.8508966099769
skas_6,192.222,1..17,100,30,162,60,4059.5873211349926,361.2414379544733,2223.5818617086975,250.04339685102138
skas_6,187.63,1..17,100,30,147,45,5486.436375224738,356.1795968509023,2666.0789118137377,293.85889146942134
skas_6,216.143,1..17,100,30,180,78,4072.934570666505,410.3317014432713,2183.8002267572965,233.49657518178932
skas_6,142.75,1..17,100,30,119,17,4130.914338047442,374.22599308773613,1976.6628728339288,232.3429969577167
skas_6,113.319,1..17,100,30,105,3,3370.3945054363335,360.9451141470449,2524.6102224461247,275.07525328312107
skas_6,194.219,1..17,100,30,156,54,2762.1669494250054,289.5976167948917,1857.014327365714,202.9258491462349
skas_6,212.107,1..17,100,30,180,78,7603.331528099336,545.5896924326753,2078.3310501211927,218.16552506059645
skas_6,151.822,1..17,100,30,144,42,4492.249520276051,415.6619573113598,2393.6796198857187,241.07182099804882
skas_6,132.648,1..17,100,30,104,2,4192.658271197966,282.2289744374959,2125.839917494253,233.19484089408462
skas_6,132.009,1..17,100,30,111,9,5563.318893651991,420.96068361623134,2587.9931503635785,288.0827625302982
skas_6,130.817,1..17,100,30,114,12,6301.548847466351,429.27417837643367,2350.0,274.0
skas_6,181.19,1..17,100,30,147,45,7561.7250496967545,553.9423314507736,2185.493174953358,252.5839063705061
