dataset,duration,neighbours,max_no_improv,max_no_improv_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_12s_950,7.760283079,1..23,200,50,330,123,58632.3341825011,2314.58960968891,37590.77050252802,1500.219849269908
skas_12s_950+,7.760283079,1..23,200,50,330,123,66081.16034841722,2607.0317774814607,48401.745582855634,1958.2306830730015
skas_12s_950,10.859549759,1..23,200,50,461,254,78355.59044032567,2846.683650564337,37060.72728383239,1541.1172742875897
skas_12s_950+,10.859549759,1..23,200,50,461,254,92450.16497441924,3385.4975224133623,49951.20681594782,2037.0273935951716
skas_12s_950,14.751318979,1..23,200,50,633,426,73104.83234272088,2822.1821821714393,37490.370769372654,1555.2131725087656
skas_12s_950+,14.751318979,1..23,200,50,633,426,79920.13478324917,3063.91986640007,51155.716768988736,2085.7419889917105
skas_12s_950,8.446979028,1..23,200,50,355,148,69819.5500140987,2681.178229385457,36696.348594000796,1508.1037036258888
skas_12s_950+,8.446979028,1..23,200,50,355,148,80077.3608396366,3110.635731525998,46475.34789279498,1874.2537940004775
skas_12s_950,7.715465763,1..23,200,50,324,117,91318.2387885145,3226.912324268848,38313.414239595666,1611.9552062422274
skas_12s_950+,7.715465763,1..23,200,50,324,117,99509.12123700517,3548.922118746778,52738.61489491468,2136.9528977098485
skas_12s_950,7.347086652,1..23,200,50,313,106,88967.73175804228,3268.2534465826607,38675.0126256477,1604.2929793316218
skas_12s_950+,7.347086652,1..23,200,50,313,106,93632.97807933514,3404.4070567623958,52664.300539588345,2117.5773497087043
skas_12s_950,8.319230963,1..23,200,50,357,150,88466.66386777851,3352.279301803732,38287.25840712587,1636.1567214186155
skas_12s_950+,8.319230963,1..23,200,50,357,150,93971.81242325733,3577.739520981553,50665.84276358059,2121.072133056013
skas_12s_950,9.155179641,1..23,200,50,372,165,53763.75554595246,2034.8501750983623,39278.94399318167,1619.2325455014206
skas_12s_950+,9.155179641,1..23,200,50,372,165,65043.44465630026,2485.028608224617,48992.04283790562,1991.8187482025578
skas_12s_950,6.689283442,1..23,200,50,279,72,65762.16693360436,2494.4881757632193,38718.93175082749,1618.6810773294892
skas_12s_950+,6.689283442,1..23,200,50,279,72,74842.04127940361,2811.3132955921883,51281.40000940811,2133.5284543702305
skas_12s_950,7.288405873,1..23,200,50,317,110,91263.4671290626,3543.804895342773,38968.327891098,1622.8625202137177
skas_12s_950+,7.288405873,1..23,200,50,317,110,96497.05174576312,3758.0685462229,51092.64653074503,2048.205463513761
skas_12s_950,5.863174207,1..23,200,50,243,36,82701.99022423994,2960.8932831109437,38601.042702934166,1550.7148575486463
