dataset,duration,neighbours,max_duration,max_duration_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_12st,245.020787911,1..23,240,5,49,3,104183.23874565795,4010.7782107259736,35374.14243311714,1527.9817409832601
skas_12st+,245.020787911,1..23,240,5,49,3,111544.92794523094,4297.044951996551,49079.89241565206,2044.3902344798612
skas_12st,245.019999045,1..23,240,5,49,9,84807.2016308081,3188.822083953462,34919.7208819146,1507.199592682481
skas_12st+,245.019999045,1..23,240,5,49,9,89747.5519646799,3340.0667430239523,45480.13234799312,1934.4468211836372
skas_12st,245.019813433,1..23,240,5,49,45,51395.77565451772,1983.7734712315203,34986.99595777807,1482.296001255742
skas_12st+,245.019813433,1..23,240,5,49,45,62692.57347645504,2453.1832288894325,46687.25132450159,1907.7999120672014
skas_12st,245.025705867,1..23,240,5,49,9,98980.70384854393,3839.3836481056665,35977.32781100471,1502.130218197142
skas_12st+,245.025705867,1..23,240,5,49,9,105948.30914990844,4077.4558417367525,51990.78818406502,2101.5134721858703
skas_12st,245.018970365,1..23,240,5,49,9,99947.80043865024,3287.714868253608,36256.523229228624,1494.6956101277094
skas_12st+,245.018970365,1..23,240,5,49,9,110280.60341695572,3634.2727818482986,50197.60513610685,2035.440787283256
skas_12st,245.023872352,1..23,240,5,49,4,71370.28404449913,2676.3007312664317,41826.76315657232,1783.572261741775
skas_12st+,245.023872352,1..23,240,5,49,4,83676.6182083208,3173.528558424079,55126.7441207011,2322.738180750096
skas_12st,245.028229336,1..23,240,5,49,19,70525.78389411747,2607.4792850147696,36252.50569078389,1507.7097045845267
skas_12st+,245.028229336,1..23,240,5,49,19,83410.66177967831,3069.5452288213073,50651.876196045916,2040.4699215764424
skas_12st,245.023564536,1..23,240,5,49,3,61724.23350483426,2442.1001122833823,35743.28962821684,1549.1855148326083
skas_12st+,245.023564536,1..23,240,5,49,3,67606.41069049574,2618.688761434872,52365.66882782552,2229.4340831511495
skas_12st,240.020287375,1..23,240,5,48,48,73966.72019037043,2878.121513787385,37732.90149246977,1584.7465349516904
skas_12st+,240.020287375,1..23,240,5,48,48,83787.39746357016,3284.840796989212,46838.231533339196,1948.8407934804775
