dataset,duration,neighbours,max_duration,max_duration_ls,iterations,best_iteration,initial_costs,initial_distance,best_costs,best_distance
skas_12t,241.246730739,1..23,240,5,46,30,112725.46373654285,4121.599725001213,47127.88550476772,1851.5801085283247
skas_12t,240.955505755,1..23,240,5,46,21,75916.62252472805,3055.257634067137,50045.00098243503,2010.8721593673843
skas_12t,241.319165575,1..23,240,5,46,5,92618.67019468083,3348.2407660838603,48153.550015478,2048.0365461706524
skas_12t,241.135232998,1..23,240,5,46,3,88678.73100643464,3186.2918417101528,51973.3921954712,2077.3755433338038
skas_12t,241.391792292,1..23,240,5,46,8,75385.68085561771,2795.8568284046196,52393.11370975297,1988.5617981434011
skas_12t,241.176356927,1..23,240,5,46,9,85574.3517229231,3200.34808556533,49681.40700789131,2009.3090886572963
skas_12t,241.47397672,1..23,240,5,46,26,82518.8096580799,3053.2642662178127,49673.33655761611,1996.106562211397
skas_12t,241.026797874,1..23,240,5,46,27,101420.22353241334,3745.049112331259,50307.32589870528,1985.5381687918841
skas_12t,241.232206436,1..23,240,5,46,20,68918.32585331684,2842.174926813469,53229.857259034405,2197.0857410343287
skas_12t,241.417922599,1..23,240,5,46,30,136628.82769680794,4881.978907604545,51807.98451439067,2012.4498246445971
skas_12t,241.00780368,1..23,240,5,46,14,87095.83667746418,3185.617475453154,48142.25207343989,1935.0021533216077
skas_12t,241.649706444,1..23,240,5,46,45,91844.98186710892,3436.499274463668,45214.15403210782,1857.0088257476525
skas_12t,241.123262323,1..23,240,5,46,42,78444.88737206369,2684.935370846349,48627.25515897881,1980.58987764258
skas_12t,241.169401229,1..23,240,5,46,15,103246.13607946708,4037.79893532691,48100.989975640645,1850.1276312776174
skas_12t,241.104838567,1..23,240,5,46,15,74391.28649217795,2858.3541632070414,47593.83096689474,1925.3244031659863
skas_12t,242.057980808,1..23,240,5,46,29,87832.12044677998,3232.044906787703,50368.857050607265,1945.8489587176023
skas_12t,241.45131913,1..23,240,5,46,39,59943.75201087046,2186.150672459704,46574.846083214055,1873.4174243531677
skas_12t,241.711596045,1..23,240,5,46,32,74149.3638949421,2828.9211715495994,50877.29794538151,2031.5656633490696
skas_12t,240.753893687,1..23,240,5,46,20,104175.71875541363,3882.0715943662435,52537.566653695736,2099.692494670572
